old_id,old_path,new_id,new_path,phase,area,topic
DD-DDL-010,docs/3.詳細設計(DD)/21.DDL/DD-DDL-010.md,DD-APP-DB-013,docs/3.詳細設計(DD)/02.アプリ(APP)/22.DB物理設計(DB)/DD-APP-DB-013.md,DD,APP,DB
DD-DDL-011,docs/3.詳細設計(DD)/21.DDL/DD-DDL-011.md,DD-APP-DB-014,docs/3.詳細設計(DD)/02.アプリ(APP)/22.DB物理設計(DB)/DD-APP-DB-014.md,DD,APP,DB
DD-DDL-012,docs/3.詳細設計(DD)/21.DDL/DD-DDL-012.md,DD-APP-DB-015,docs/3.詳細設計(DD)/02.アプリ(APP)/22.DB物理設計(DB)/DD-APP-DB-015.md,DD,APP,DB
DD-DDL-013,docs/3.詳細設計(DD)/21.DDL/DD-DDL-013.md,DD-APP-DB-016,docs/3.詳細設計(DD)/02.アプリ(APP)/22.DB物理設計(DB)/DD-APP-DB-016.md,DD,APP,DB
DD-DDL-014,docs/3.詳細設計(DD)/21.DDL/DD-DDL-014.md,DD-APP-DB-017,docs/3.詳細設計(DD)/02.アプリ(APP)/22.DB物理設計(DB)/DD-APP-DB-017.md,DD,APP,DB
DD-DEP-001,docs/3.詳細設計(DD)/73.拡張性/DD-DEP-001.md,DD-INF-DEP-001,docs/3.詳細設計(DD)/03.インフラ(INF)/21.デプロイ実装(DEP)/DD-INF-DEP-001.md,DD,INF,DEP
DD-DEP-002,docs/3.詳細設計(DD)/73.拡張性/DD-DEP-002.md,DD-INF-DEP-002,docs/3.詳細設計(DD)/03.インフラ(INF)/21.デプロイ実装(DEP)/DD-INF-DEP-002.md,DD,INF,DEP
DD-DEP-003,docs/3.詳細設計(DD)/73.拡張性/DD-DEP-003.md,DD-INF-DEP-003,docs/3.詳細設計(DD)/03.インフラ(INF)/21.デプロイ実装(DEP)/DD-INF-DEP-003.md,DD,INF,DEP
DD-DR-001,docs/3.詳細設計(DD)/13.インフラ詳細(INF)/DD-DR-001.md,DD-INF-SEC-001,docs/3.詳細設計(DD)/03.インフラ(INF)/41.セキュリティ詳細(SEC)/DD-INF-SEC-001.md,DD,INF,SEC
DD-ERR-001,docs/3.詳細設計(DD)/62.エラーコード/DD-ERR-001.md,DD-APP-ERR-001,docs/3.詳細設計(DD)/02.アプリ(APP)/41.ログ/エラー(LOG_ERR)/DD-APP-ERR-001.md,DD,APP,ERR
DD-IAC-001,docs/3.詳細設計(DD)/13.インフラ詳細(INF)/DD-IAC-001.md,DD-INF-IAC-002,docs/3.詳細設計(DD)/03.インフラ(INF)/11.IaC詳細(IAC)/DD-INF-IAC-002.md,DD,INF,IAC
DD-IAC-002,docs/3.詳細設計(DD)/13.インフラ詳細(INF)/DD-IAC-002.md,DD-INF-IAC-003,docs/3.詳細設計(DD)/03.インフラ(INF)/11.IaC詳細(IAC)/DD-INF-IAC-003.md,DD,INF,IAC
DD-IAM-001,docs/3.詳細設計(DD)/13.インフラ詳細(INF)/DD-IAM-001.md,DD-INF-SEC-002,docs/3.詳細設計(DD)/03.インフラ(INF)/41.セキュリティ詳細(SEC)/DD-INF-SEC-002.md,DD,INF,SEC
